0,4
1350,4
1447,4
1494,4
1537,4
2493,4
4084,4
4626,4
5838,4
5908,4
5952,4
5980,4
6001,4
11729,4
11998,4
12050,4
12098,4
13405,4
13458,4
13496,4
13533,4
13832,4
15024,4
15536,4
15722,4
15960,4
17362,4
19885,4
21112,4
21149,4
21283,4
21330,4
21661,4
21914,4
22935,4
23031,4
25307,4
30275,4
31152,4
31655,4
32858,4
34968,4
36109,4
37099,4
37149,4
37193,4
37348,4
37397,4
37432,4
37684,4
37872,4
38684,4
38735,4
38935,4
40797,4
42956,4
43331,4
44537,4
45561,4
45658,4
45842,4
47869,4
47916,4
48001,4
48936,4
49216,4
49531,4
51124,4
51185,4
52733,4
52885,4
53094,4
53899,4
55026,4
55962,4
56769,4
56814,4
56856,4
57087,4
57209,4
57587,4
58490,4
58532,4
59418,4
60563,4
60615,4
61101,4
62354,4
63420,4
63464,4
63767,4
64710,4
64749,4
65695,4
66052,4
67187,4
67415,4
68438,4
70174,4
71043,4
71871,4
73997,4
74036,4
74979,4
75013,4
76301,4
76354,4
77466,4
77510,4
78151,4
78369,4
79606,4
79857,4
80962,4
81022,4
86022,4
86198,4
86235,4
86265,4
86544,4
87574,4
89717,4
90765,4
90791,4
91103,4
92067,4
92363,4
93261,4
93423,4
94328,4
95290,4
95842,4
95883,4
95913,4
98286,4
98342,4
98371,4
98399,4
98426,4
99649,4
100975,4
101034,4
101072,4
102323,4
102582,4
104652,4
105764,4
106035,4
107085,4
107195,4
107224,4
110485,4
110511,4
110655,4
112049,4
112272,4
113178,4
113277,4
113422,4
114411,4
116107,4
117986,4
118104,4
118400,4
119585,4
121465,4
121497,4
122504,4
122550,4
122690,4
122722,4
122898,4
123039,4
124009,4
124921,4
125775,4
134412,4
134587,4
134665,4
135863,4
136908,4
137734,4
138595,4
138655,4
138965,4
139125,4
139278,4
140148,4
141772,4
142540,4
142638,4
143408,4
143745,4
144639,4
144779,4
145618,4
146359,4
147127,4
147250,4
147280,4
147304,4
147328,4
148166,0
